kind,journal_mode,size_class,buy_kind,signature,slot,block_time_utc,wallet,mint,spend_sol,index_in_block,block_tx_count,next_block_slot,sandwich,n_attackers,attacker,attacker_is_source,attacker_known_as,front_sig,back_sig,back_where,attacker_entry_sol,attacker_exit_sol,attacker_entry_usd,attacker_exit_usd,attacker_profit_sol,same_pool,quote_mint,price_before,our_price,loss_pp,front_vs_before_pp,all_attackers,why_no_data
dbot_batch5,,0.2+,first_entry,33Z4VHzm6orZLkF87EiD7k3gut382e9hC786Ko31g3GQMxLnTofciaDqaHHM1K6kfAyEHymPSmwk9KPTeCtEKD3V,448908259,2026-09-21T01:34:49Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,GYU4DrNqnBam2MPBuxxp86eqvY4wXdxKoPcXwN2X7AF2,0.5117798,72,1169,448908260,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000007411635192510237156925984284,,,,
dbot_batch5,,0.2+,first_entry,3DC83YDHEcNFHmuJAwKu7Qud4NxkHQPs4PMD71tm7KSUg3tELTspRSG55VfDn5FuixBF3icRzUKZKHu46wS7pGGk,448941650,2026-09-21T04:03:34Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,B8WvjPmz1wJ9xPRKEkyWHFzPZoaqkKWCytgtFjhTpump,0.51037264,242,962,448941651,нет,0,,,,,,,,,,,,,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,,2.352536508880596112985618764E-7,,,,
dbot_batch5,,0.2+,first_entry,j17YJPJfKbcXRvMhv7yGwicahuzUPMGyJaBUZJoAEvu9zMbpfZhwfrHEDySfh2jq4n5cFDN6MNj28JTbaeUSLLT,449017730,2026-09-21T09:40:59Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,Aigf5pKPyZW8nzxCrHEisE4tZMiUhFpKie8mYE7cmj6c,0.513253,53,946,449017731,нет,0,,,,,,,,,,,,,Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,,0.000001636255267261164779799353320,,,,
dbot_batch5,,0.2+,first_entry,4gCC2SGxvdgYPRrpbnu1aBuhLLxYGUEAj3371NeThdLxbc4fUgwkWWUPmBrqR5xcnu95J8ecbsuV9d3MoWjJmurr,449032108,2026-09-21T10:44:51Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,GTBxUiw6wJdmmkCGZgRHLyYxqu1vG4KtRpeox6yDpump,0.510205,676,1550,449032109,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.00003245984729286078440888409308,,,,
dbot_batch5,,0.2+,first_entry,3uret8NV1HGyojwKqPLPGAjv4WYcRjcnScQaAoNwQ88nABgnDTTbA2aRPQy7bPj9aU6u4nhWTPR3JHsQkyhrQhAv,449093481,2026-09-21T15:18:29Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,95pCcNPexz8rg1Sazi2GscfAGSFy3NXSPDL9TdEMZE2V,0.510205,124,1244,449093482,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,7.598992453200506251652452847E-7,,,,
dbot_batch5,,0.2+,first_entry,4VzVcLhT4otf3mWQd5zF9tnFQRR4boZ79znCjqtJ7zwj5G5wBNjCnYbNkr6qpLtk2MQgvjeqCUNVDKfr5VJQMbET,449100812,2026-09-21T15:51:17Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,DEW9dSN6QpWyNthphCpMmAbZP1Q4cEKR9xQXAri98WDP,0.5117798,798,1908,449100813,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000007865286559370046355329664856,,,,
dbot_batch5,,0.2+,first_entry,558qErHuF7gZZUdzHx9zdhMiK9BhsyDiwzzVQT3iEccnnQikFzs65Pf9myrJ5FmRqoh4uPD3K2naUoXvSd4cNZWZ,449114768,2026-09-21T16:53:40Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,DEW9dSN6QpWyNthphCpMmAbZP1Q4cEKR9xQXAri98WDP,0.510205,56,1560,449114769,нет,0,,,,,,,,,,,,,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,0.001646187072903219005698849508,,,,
dbot_batch5,,0.2+,first_entry,2ZsGpNcg792JLnAPfWDgWjvJ5Lnd9r6DBzNgVqPwE278t4aUoQPxZVJN8oRGQJpBw7o7tjScyCm7eV1VeeKEMKjK,449117084,2026-09-21T17:04:00Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,BbjGgcuB2FpXkgVcLHptwfuEyK58ehc9KmAD5ArucvKk,0.5117798,1219,2075,449117085,нет,0,,,,,,,,,,,,,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,,0.001074758637032373814046893549,,,,
dbot_batch5,,0.2+,first_entry,3oKNfSRn8vQad1W8w9Tvf5J8VSAThiUivm4wYo34rjnWtvTkCkLdE8q8KRFbRAsHEwVVS79x6kcHhyXW11nVR59C,449134824,2026-09-21T18:23:18Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,9KmeDWVt7TtrEZT2567kxeDkDZxd3cDoTZ1ZrLow9soG,0.51326824,1066,1227,449134825,нет,0,,,,,,,,,,,,,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,,0.0007199994871067631126557065931,,,,
dbot_batch5,,0.2+,first_entry,3koYjN85FmhBne1CbgS5ySfytRy55BrpN4o3BURwFSVyNAtWQcFAeB1SzFWBKypPRbhU2QAtpVWoWto1wXsKP1pS,449139310,2026-09-21T18:43:17Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,E8fsmahzoa4WGZ1dCnGBTzgXRxz9T7nC17KWGkzGxray,0.51169344,683,977,449139311,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000005179030522445294576587091008,,,,
