address,name,group,rank,prev_status,source
6gAgy3F1tLxeBWb8UhGEnmXYVRoaz3w1Lzv6APyhfoHk,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
6qudAN2kV8mtCcYJxb5QQ6Vr15itdHHdeVbYm99NKMhy,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
6yVb4pxNwDfr6rovwNnBg3SyKSvDcHGD4WdFPN1JJBqm,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
72vuyLmZhVUEdhCqorzwiMLzsEpbKKrbdgbyCfBtkEMU,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
75gEU53qiaHJaNnCMvbKY6CiZcspoe5gP8GxtzPWRRUg,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
77XV9rBiwk6WAXjzTWiwtCQfmB6CXsw1j7Kp3G5xUyez,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
77n6X7LtGy5AZprsvjZu1eaekJpxqLeVRZLPJZdBYyg9,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
78N177fzNJpp8pG49xDv1efYcTMSzo9tPTKEA9mAVkh2,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
78qpVLBrsFAYz6BtoXbGTpeaPUrSH54wNbhvYEH8gUuy,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
7BNaxx6KdUYrjACNQZ9He26NBFoFxujQMAfNLnArLGH5,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
7BVpH77rgXUt5mKcxtE6oZ9WmPUoDhUk2dfvpVYUM5FX,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
7NnaXghjuU92gM9kmwXysqa5HboyZuR2LTaBnvazFxSH,Исторический ранг есть; прежнее ДА|confirmed,Исторический ранг есть; прежнее ДА,confirmed,YES,first_mass/qualification_overlay_v143.json
