last_trade,n_trades,pool_address_hex,project,token_bought_symbol,token_sold_symbol,total_vol_usd,version
2026-09-05 05:50:08.000 UTC,76212,D89CAC2DD5CE9F8D655D9F6E20EEED18EFC9DAEF,gigadex,USDG,SPY,20383508.08330074,3
2026-09-05 06:06:53.000 UTC,149880,D60A5D14DB690B7AFAD71F76B108071D7175597D,uniswap,USDG,QQQ,20099401.16563979,3
2026-09-05 06:04:24.000 UTC,77011,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,SPCX,19671030.859658897,4
2026-09-05 06:06:58.000 UTC,94213,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,MSTR,USDG,19558696.953560974,4
2026-09-05 06:06:57.000 UTC,86847,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,MSTR,19354303.01651576,4
2026-09-05 06:05:04.000 UTC,92570,D9AB4B7FAE6DC2F7020134EC744A8F53EF3E5E24,uniswap,USDG,TTWO,18833220.1165448,3
2026-09-05 06:04:58.000 UTC,50613,C8C90D3A1C1A24967E773AC2AD0D456BA3E31F64,uniswap,USDG,HIMS,18820115.990811083,3
2026-09-05 06:06:43.000 UTC,90554,BA2F1ED4CEB2169D538D1E614D847E83C5A55913,uniswap,GLD,USDG,18562834.846609555,3
2026-09-05 06:06:53.000 UTC,88091,BA2F1ED4CEB2169D538D1E614D847E83C5A55913,uniswap,USDG,GLD,18480820.751057584,3
2026-09-05 05:39:52.000 UTC,87316,EB07D9587EFD1778DFB9C385EC43EF6D5F9FE401,uniswap,SPCX,USDG,18377108.394407816,3
2026-09-05 06:00:16.000 UTC,94472,D9AB4B7FAE6DC2F7020134EC744A8F53EF3E5E24,uniswap,TTWO,USDG,18043630.890044503,3
2026-09-05 06:04:43.000 UTC,53180,C8C90D3A1C1A24967E773AC2AD0D456BA3E31F64,uniswap,HIMS,USDG,18012894.647185735,3
2026-09-05 04:51:52.000 UTC,65503,EB07D9587EFD1778DFB9C385EC43EF6D5F9FE401,uniswap,USDG,SPCX,17994873.316018045,3
2026-09-05 06:05:58.000 UTC,125491,A8744E76AED23B05F0126335E7BD38F7935D19FE,uniswap,USDG,RDDT,16797092.00355793,3
2026-09-05 06:00:51.000 UTC,128405,A8744E76AED23B05F0126335E7BD38F7935D19FE,uniswap,RDDT,USDG,16619795.325086078,3
2026-09-05 06:05:51.000 UTC,88894,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,AAPL,15948766.285325473,4
2026-09-05 06:06:37.000 UTC,104405,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,AAPL,USDG,15780722.881764611,4
2026-09-05 06:04:09.000 UTC,43934,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,WYFI,15721823.041915461,4
2026-09-05 05:58:25.000 UTC,71817,19D55ABA3E5D2C389B7011C634725136DFDCAE33,uponrh,AAPL,USDG,15543535.646410912,3
2026-09-05 06:06:30.000 UTC,72298,19D55ABA3E5D2C389B7011C634725136DFDCAE33,uponrh,USDG,AAPL,15513829.127904855,3
2026-09-05 06:02:06.000 UTC,47712,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,WYFI,USDG,15354010.528471284,4
2026-09-05 00:36:53.000 UTC,1053,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,WETH,AMC,14894136.866876498,4
2026-09-04 19:40:56.000 UTC,1030,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,AMC,WETH,14885081.372515196,4
2026-09-05 06:05:37.000 UTC,29153,F212D02146A897F5F686E9D629F6A73DA534324A,uniswap,USDG,LLY,14662245.630612858,3
2026-09-05 06:06:57.000 UTC,31305,F212D02146A897F5F686E9D629F6A73DA534324A,uniswap,LLY,USDG,14638250.195519345,3
2026-09-05 06:06:37.000 UTC,87744,0A2121A50A09ED0796AE81F9C53FF9398355A398,uniswap,USDG,COST,14221711.018790847,3
2026-09-05 06:05:24.000 UTC,92966,0A2121A50A09ED0796AE81F9C53FF9398355A398,uniswap,COST,USDG,13844594.107868077,3
2026-09-05 06:04:11.000 UTC,53542,02175608F1B5E6B5ED221CCFDC7BE197D111D915,uniswap,USO,USDG,13066009.704748195,3
2026-09-05 06:06:46.000 UTC,84485,AAE0D815EE56E4092A5E5C2911E676FEA50B2D6D,uniswap,USDG,AAPL,12988319.311299082,3
2026-09-05 06:03:37.000 UTC,96461,AAE0D815EE56E4092A5E5C2911E676FEA50B2D6D,uniswap,AAPL,USDG,12943413.10168293,3
2026-09-05 06:06:59.000 UTC,71576,C3C9F0171490EF0F4536FE493F3B0EBB5EE0CB5E,uniswap,SPCX,WETH,12631690.535639191,3
2026-09-05 06:06:41.000 UTC,52973,02175608F1B5E6B5ED221CCFDC7BE197D111D915,uniswap,USDG,USO,12617630.966063254,3
2026-09-05 06:05:19.000 UTC,55376,1BDB8E3A79CB1A7F228808739311E23098D33D43,uniswap,USDG,RBLX,12590448.067661047,3
2026-09-05 06:06:59.000 UTC,83229,34D0DC122CF9A8EB296FC5E0D3A233625D7D19B7,uniswap,USDG,GOOGL,12573496.265624478,3
2026-09-05 06:06:33.000 UTC,70094,C3C9F0171490EF0F4536FE493F3B0EBB5EE0CB5E,uniswap,WETH,SPCX,12557291.035241678,3
2026-09-05 06:06:54.000 UTC,84597,34D0DC122CF9A8EB296FC5E0D3A233625D7D19B7,uniswap,GOOGL,USDG,12448999.722251417,3
2026-09-05 05:56:23.000 UTC,60216,1BDB8E3A79CB1A7F228808739311E23098D33D43,uniswap,RBLX,USDG,12364003.134312676,3
2026-09-05 06:06:08.000 UTC,36535,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,SNAP,11683697.865684845,4
2026-09-05 05:49:52.000 UTC,66550,3E1AFDE90341F843C941FF4077D915BDE3008C7E,ramsesxyz,WETH,SPY,11457463.729738869,cl
2026-09-05 05:50:10.000 UTC,71641,3E1AFDE90341F843C941FF4077D915BDE3008C7E,ramsesxyz,SPY,WETH,11449318.574957285,cl
2026-09-05 06:05:55.000 UTC,42112,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,SNAP,USDG,11363014.91979307,4
2026-09-05 06:04:36.000 UTC,76031,31A89AFD92F9397465649AD03226C52292FC1AE5,uniswap,USDG,DJT,11096487.774617096,3
2026-09-05 06:04:58.000 UTC,27602,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,HIMS,10996934.286186513,4
2026-09-05 06:01:48.000 UTC,74591,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,TTWO,10899269.312985817,4
2026-09-05 06:00:57.000 UTC,69496,31A89AFD92F9397465649AD03226C52292FC1AE5,uniswap,DJT,USDG,10838143.439483814,3
2026-09-05 06:00:34.000 UTC,40630,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,GLD,USDG,10577302.19617718,4
2026-09-05 06:06:56.000 UTC,54622,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,LULU,10517538.641089408,4
2026-09-05 06:06:49.000 UTC,63987,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,TSLA,10488419.758439869,4
2026-09-05 06:01:37.000 UTC,76773,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,TTWO,USDG,10439720.447537486,4
2026-09-05 06:06:00.000 UTC,57694,9D590437ABAAE12CF9FE0627CAF4CFD633152599,uponrh,SPCX,USDG,10419072.006275635,3
2026-09-05 06:01:07.000 UTC,29882,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,HIMS,USDG,10405684.19096056,4
2026-09-05 06:05:22.000 UTC,69415,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,TSLA,USDG,10354389.986474771,4
2026-09-05 06:04:39.000 UTC,53615,9D590437ABAAE12CF9FE0627CAF4CFD633152599,uponrh,USDG,SPCX,10342232.968768347,3
2026-09-05 06:06:46.000 UTC,58063,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,LULU,USDG,10202666.320704274,4
2026-09-05 05:36:16.000 UTC,41755,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,GLD,9942394.394789075,4
2026-09-05 06:06:18.000 UTC,73242,8BB3514E2204E1CDF3AC149EFEE7FF04D91B719F,uniswap,WETH,AAPL,9868994.59296859,3
2026-09-05 06:06:53.000 UTC,30017,D057B1BC54917855BBEE58EAD58647F47CAB35E5,uniswap,MU,USDG,9830187.671322027,3
