deployer,n_launches
0x502db63ef3f01baf465e9e7e446fb485a17ca5b8,14
0x90ddbd3be9ef247bc4187224ab18d6542519efa4,14
0x8f3eb2d7a3462884d03453b10dd046e1cb685ccd,14
0x65cfb129ba0ce54acbe93e870733d9c7f89ea799,14
0xcc2fc9ddc583f85c01e7a16e8b57b37d41811921,14
0x5f72c95b08320a6205450b4b969e7f37aa11afb6,14
0xd1fb6ba0a7aecb8c68cdf7b9eacad61398dd14e1,14
0x21612d638f85cb9b254ddea5ad1f792d8dd87f4e,14
0x94948b59a1bd68f55dd44a80d0dad3dc272a8002,14
0x916124f28921a59709ad8053128344a0c7ea9f62,14
0xbe8af7e12b536ab55fbaf92edbb512972e0504da,14
0xaa1cbf1a2bc669bbaf1c4e8f9758bba450e0ad03,14
0xdae7aa3af01d53682f60e0d5fafb49619758e5e3,14
0xb550f10a1dde3c3ce0a4c5ee0f2e58ca484ae525,14
0x13a4f16ae3fc6a6d3a83fa1b1aa0c7df206ac9f3,13
0x151efced0fca582532fc1a36ef15e7865ce03e15,13
0xf44d2fcf3cb1a24052745b6a8c7cddc0e7e74aa4,13
0x365196e39563bf58f5dde6e8f1509c3f5e8aca76,13
0x288e6e47bfcefd5c8f8b31e1c9ce30ee2d36522d,13
0x60c20c9ed20b313335026d1a5f7ec7567519752a,13
0x719d56f43f1274787508816fb29cce6e60df4f38,13
0x68634e035322376a824b69af143fb087ea214d55,13
0x2e84bc18bfcd8dfbcf9e8321fe1c8197465e3821,13
0x99f0300e80794d65b87ada48b12265c44ff3e038,13
0x1f5eaab23629d7c633c3a36df68215b07f7736c1,13
0xc4f01ee2b699aefcaaa07ee0df5d07c51828dfa8,13
0xb0d8236ab41a5602fb84bfd09521a84d96de3225,13
0xb2a4016b1795aab99027d8a79d8e0e398504f97b,13
0xb256ac626fc83d8f6b42faef10abc7ec74a0e9cc,13
0x1fa470d46cc35a97fabc49892f0135e97257642e,13
0x8ce9eea77acc5f98bf4f387eb0753fe92ebad740,13
0xa7d23f65d4f19b0ed4edc9591c54fde5a89533c9,12
0xe1096dc5b66bf84c82f721102b78395808717ea5,12
0x2abf8d7e9b95866985282eb09fd0b2f4e839b68a,12
0x340205b714575f47c4b21319da65593364833049,12
0x7bf6b004cb84b49295f81b1c13b055a7ab23cc3b,12
0x9f1a3f36ca46386e6e78d8e9d89b35f449669d57,12
0x1bfd6c764cf3bb2b9bdce7c16057572277cfcecf,12
0x609f2c912175f8cd4438c1882f291fa6a4b4c735,12
0xdfaf3827b583f01e0c9efc85759a8d5d4bbb5658,12
0x06dd5daf7033dcaf0297ee648d81d644884b0951,12
0x958b419e7f4945f999e724fcd76111948be35d6d,12
0x9ba1fc0d5620216c09672d6d924c363c9ca48b9e,12
0x17bb3f846ef1dd12d42a25475f75f2225f24039b,12
0x75310724d63bc9e0eb63e6edb46b4e1ee4929839,12
0x167773ec6a8605aa0fe00d35a6f01fb219b27584,12
0x978ba79df7d5c4d14f5206baa7b6adba3ba49399,12
0x7f39a1cc8369f54a3a012f5ba120944467f95f34,12
0x9c207bf854b38a8d947ec3cb8342c007c0e99165,12
0x52c32bd51c1e67dce15424566a8c88449be8d5a3,12
0xb2e8f052e15f1034db9d91c1e024c2ba6bafba57,12
0x4a096089e3e8164d02641a71e01a8e206c507a8d,12
0xbd4a34cde99c3d5c3b75ec4d5fbc7e9f596dafb8,12
0xfbdee45a62931bed3542e41e61de5e2658b285a9,12
0x8834ea18fc120e9f15ff751329583ffc2c70d7cb,12
0x6577d0728020520865697e065a558735df4ae897,12
0x32989fc41f5d72761bfa1c855b3a202131c2b247,11
0xc2914c9c67c13eda5fa43f8f1f620980f7314bfb,11
0x83c435ed6e5a865413d2645e7db447294785a149,11
0x8dd575a5907a10beeeccbe5bf4834e0bc4991a7c,11
0xb2cadd718711776dbf108136890569f9ad97fef7,11
0x1eb1edff927db42168ca347b4b92043a8c3b0ec2,11
0x9f4e49def1225f842525e5d0e447aa166d3b68f7,11
0xd1977214992322b0c06ee108c553799ba23f4e54,11
0xb77e6c2f2cca272b3bb72b71a8d7e52c0d9f32d1,11
0x265deb831bba2ab431ae2bb5a2432bab0e0b2001,11
0x89fc47bddcbe3a1ea3d3772272910ec4bf058d76,11
0x1ab45cf56c47169ca58fab32957792bad81bf130,11
0xcdb9d687e9ccc8a63e94a3d276e1b18af43ecbb9,11
0x44dc544611c050118c74ec5f960f43b3a04fa14c,11
0xcba7de5b35f05ac77501977df178dab764f8d6ad,11
0x6d0f45b4d690b02db454448883fb79ef770c0bd7,11
0xd2bb88dccf3835b5dc24d08e6bf40578a5889265,11
0xbc6fe55b9c3bea7101f8a422e582aade01039dd4,11
0xe1f40c6fb5cea4f5ffe3463f7549a737204ed733,11
0x29c18427fc8d11dc18c866438f0a148df6cd80c5,11
0xfb9453f16024d901464f43b978f16720f1701701,11
0x30e3e6a7bde01b8e2a11a6db633403272abec947,11
0x3aa8e2c15d19f246e123ec0fc6ccba03db0d8e28,11
0x770ed10373ea5a87e154c50b9cf7ae33e3a21f79,11
0xb323dc508eb6525667477db2a04c4bf748770379,11
