cluster_id,n_launches,fee_revenue_usd,vol_usd_24h,n_zero_volume_tokens,zero_volume_share,cost_usd,fee_to_cost_ratio,fee_per_launch_usd,vol_per_launch_usd
0xca4c4e83f9b6231553aff2bb5f364fe174b351be,22,3687.814241710067,368781.4241710067,0,0.0,27.654173326878222,133.35470918328733,167.62792007773032,16762.792007773034
0xca3220ebad755415026196713eb0c1280b5e220d,21,177.2784482425637,17727.84482425637,0,0.0,26.39716544838376,6.715813809221629,8.44183086869351,844.1830868693511
0x6b42e998ee6c5ee3521d8892d0fdd3f9d8136761,21,2854.958597203423,285495.8597203423,0,0.0,26.39716544838376,108.15398353228208,135.95040939063918,13595.04093906392
0xea157dd118d0a555fd5487b57db34d1018533456,21,307.7068897572252,30770.68897572252,0,0.0,26.39716544838376,11.656815591011323,14.652709036058344,1465.2709036058343
0x1ae1d6e5fb0f20965cc1adf47fe6fc7663ab1f6f,21,2657.1588693548183,265715.8869354818,0,0.0,26.39716544838376,100.66076505640534,126.53137473118183,12653.13747311818
0x8654ff17f972e3b2f9fbea9250242fd5c38860a1,21,3593.8902757753162,359389.0275775316,0,0.0,26.39716544838376,136.14682541588428,171.13763217977697,17113.763217977696
0xef4dd971e3f6d7bcb90030b78bc6c3fd5bc9f950,21,2.7114962398563653,271.14962398563654,0,0.0,26.39716544838376,0.10271921980253317,0.12911886856458882,12.911886856458883
0x7a32d312281ca44922510b6b537802f6b249778d,21,2864.9017803324396,286490.1780332439,0,0.0,26.39716544838376,108.53065970035246,136.42389430154475,13642.389430154473
0x4b1a0e0c9cdb4bd02464d830465c9f4a71dbc27a,20,2748.412265246062,274841.22652460623,0,0.0,25.140157569889293,109.32358946460512,137.4206132623031,13742.061326230312
0x52e96973101fef5292bdb4cc8c41eea3b3f5d20b,20,731.8906317699563,73189.06317699564,0,0.0,25.140157569889293,29.11241227248916,36.594531588497816,3659.453158849782
0x8604f37f4db3832ba354eb3ba87cc5f3b98f0b92,20,3491.146754131201,349114.6754131201,0,0.0,25.140157569889293,138.8673378210085,174.55733770656005,17455.733770656003
0x7527b2f7b4fbb5e17a0e948cdcc1b15b3c67a71f,20,2925.5332251477016,292553.32251477015,0,0.0,25.140157569889293,116.36892955084944,146.2766612573851,14627.666125738508
0xe6b0694db883df556cfd193ee0c721de480c7b36,20,2926.007042984197,292600.7042984197,0,0.0,25.140157569889293,116.38777660203353,146.30035214920986,14630.035214920985
0x57637d02e448447851b640723746e6a19b286912,20,3044.114321757635,304411.4321757635,0,0.0,25.140157569889293,121.08572960591194,152.20571608788174,15220.571608788174
0x0b9b9e2c204e35dc0274ef7e8c79edd17816b13c,20,3648.6047221321846,364860.47221321845,0,0.0,25.140157569889293,145.13054311569502,182.43023610660924,18243.023610660923
0x78a54c96a559ec2ec17c0419705f0c2f8bfc72de,20,211.48697812729569,21148.697812729566,0,0.0,25.140157569889293,8.41231712805955,10.574348906364785,1057.4348906364783
0x57e75687a0344594f0c618bb2e581ecd91ad28d7,20,2970.399158466419,297039.9158466419,0,0.0,25.140157569889293,118.15356169541698,148.51995792332096,14851.995792332094
0x6d69135b01677a588dca64c63cc6dbdf3445bae7,20,2968.348543340672,296834.8543340672,0,0.0,25.140157569889293,118.07199438144745,148.41742716703362,14841.74271670336
0x19ebdfb3dc43645709791cde332931cfccf447dd,20,2582.581049227217,258258.1049227217,0,0.0,25.140157569889293,102.72732149938508,129.12905246136086,12912.905246136084
0xaed66477fee695e6c54056846085fff4a26bc54e,19,2763.202110102523,276320.2110102523,0,0.0,23.88314969139483,115.69672115307776,145.43169000539595,14543.169000539594
0xdab16a822e72c08312b33cc015b7e28eda298329,19,3281.4903089958634,328149.03089958633,0,0.0,23.88314969139483,137.39771978978945,172.71001626294017,17271.00162629402
0x25da071e00ac3063d194d9ffdf9bf59096e0e1d2,19,2905.0671762719803,290506.717627198,0,0.0,23.88314969139483,121.63668585633346,152.89827243536737,15289.827243536738
0x8220ba17862f19bc51fbccc48b192e031abe7342,19,4586.7826051700995,458678.2605170099,0,0.0,23.88314969139483,192.05099262191246,241.40961079842629,24140.961079842626
0x9083ee35d1f67ad1ec92987c798937594fb82908,19,3081.6064612672567,308160.64612672565,0,0.0,23.88314969139483,129.0284782822246,162.18981375090826,16218.981375090823
0x4644b519476e1c746f0ff62b9448c0797ad6ec1c,19,2925.1787001036955,292517.8700103696,0,0.0,23.88314969139483,122.4787659040485,153.95677368966818,15395.677368966819
0xfab402ddd62b7eb1ead401dcd510906d7a968721,19,15.721753676083093,1572.1753676083092,0,0.0,23.88314969139483,0.6582780696529188,0.827460719793847,82.7460719793847
0x6f0e773b7ced2ea56235843bd2c7c036e4ebfbe5,19,2815.6107368033827,281561.0736803383,0,0.0,23.88314969139483,117.89109783195202,148.19003877912542,14819.00387791254
0x548abd2f7a66d90d83946a28677d576984f75370,19,2790.027757055152,279002.7757055152,0,0.0,23.88314969139483,116.81992505621682,146.84356616079748,14684.356616079745
0x707cd965aa77a86d2ccb724e03cb7d0c387ad89f,19,2869.393819038499,286939.3819038499,0,0.0,23.88314969139483,120.1430236847006,151.02072731781573,15102.072731781573
