executor,n_profitable_txs,total_profit_usd
5F8D74FCFE0B42A3A4D5646C0F5D9124059817A2,40,97926.53364865844
8500434F18E6B5179D252EB4F7001CC0A2C63D22,39,97204.58969069076
4549FBF04C84AAC0D6AB50FB6E19B2C231415390,179,96242.32318620829
9E738D1934E16ECE30164A392F5F58A506B4D614,3,95878.10937613816
D20278DC748CFE4A381E8969751873F1AB80CCE4,249,95233.74499366625
6F97B7DE6BE7B7771E975E46BAE96C35E332E172,13,94946.19402123954
56E22AD6BA2468BC57E83423EF5FEFEC700A448F,4,94632.004543
5F3C282E0B6B38A85071F406D584D8EFD7F50334,55,93963.71009884548
B1729CCD0FF72F89F953F75270C32FE4F6889760,54,93406.22807273941
463F6638E5D9B5866DC5E32EA099BAF5736A5639,10,93364.10532568119
00000000DB1C58ECB81789DEFCBE3390FFB88CD7,71,92574.97772994217
EAAD3BC23784BC9325AFF1AF2BFD6839527812E2,6,92218.85189912305
8B759579516DB9E8187B5D60AEECE236D13B8EFC,4,92214.4637009901
D40E9924D7E9971A03019C08F487A048059AE1DB,13,90675.27679602844
18D4C65459D9623DBB8EF2C64C5103B298DCE7FF,7,89979.07908845937
319555BC59EDB925CC5BF202EE7D7D12B7504CD8,263,89976.50257854836
91E9E0F8675C1517551F2E7FB54C20159396A146,59,89270.79866907239
82954B1849211E00FBA7B9191FDFFD26513A1653,2,89072.20965484434
18EE6DA3E475981F316278BAF43B29B9EC0FCC8D,220,88288.30652910414
BD8DB7C5B345B2263CF42C24551A8300FC96FEFF,46,86581.12101398711
D108EE2DCAD3A858E2F7D70D33B4D3501C79BD2B,50,86320.55185622683
F092460AA1F82FE7460AE54EA827FAC1BA446D41,22,86296.44021404747
E93497F8EEB0779BA372F1E9831B5787FD72D318,1,86272.441919
446C759FEB1DA102CCE53CE114AAF91451778862,54,86159.579457
7FD97D3183065E1ABB07CE32863F7E3ABBF5AEAC,4,84606.818486
D782E0E741D1EB2E3581A9814CF2571B0675FA6D,36,83977.3588552332
AE1255C532435E99132FAFBD982B434775F7CA65,5,83877.02752347468
99DE396FE367A6AF9B37EBAE0DFF2A8FC784F1A2,3,83325.07637002398
6085932878D587332419AC976FC13D98EBA6FDAB,448,83163.189336608
71416C4C697106806EBED6762379E1CC55DCC322,15,82907.0019542991
7BE5004F435C29A30FE211C0CFDBAA59A3B70B06,2,82084.706523
1D0E439A1F53D1547F378587A0A55C2083AF54C7,149,81906.29297396437
