executor,n_profitable_txs,total_profit_usd
370A7E2D300C14D79D4A7EE07AACA46C4B3012CF,433,188566.6605511863
D71212990D2BE6828E8992171A4BA05DBC439DAE,1048,185281.72248542932
88EC6B18D550CE42123365730D53E0C42B485750,158,184063.2504973961
D71212029C174836CCF1CAE90F4723D43D036223,1051,183294.09110227256
058A6A1A8CF9912F01E90B83288F5CBEEFBC0D3B,370,181371.79393158839
197D0B8D520667F6A14CE98215C2F945E6CD3CCC,6,180490.8331009746
274DF4B14C38EAD735E44A687552EA0DE2ECD961,3,180177.71679867365
4381045063B19A615A272733FA6B5F169B622646,420,180098.2837203802
344DAADDE53A81F95BCC46A99D39107A509251A1,470,178651.07016735536
D71212997DF250D8CE78B53DB7E6B4E1B969CD24,1039,177573.71830313333
E46B9E77A1A7B40FC2F972A30D09B485FE0C44F9,546,177038.8380937433
CFB481DAD0A5ACF826E317B4423EE6F0CD3876C4,166,175062.40808415366
F78310ED6641E6C4E221E9D676440AC8645D3AFE,2,173849.52655916975
6C89913B5C1528C1A3BEEE8467A2B277D1845B7F,13,171784.48521379186
87AEB03AEFEF5224513EBBC28EFF82FBCCD63298,747,170694.8886757636
D71212DBBEE6995E834DC0E732FA85B0B4212F1B,1063,170132.77521919945
D83E60D273FD0CB3B05C2611DB940FECB7B6CA64,486,169969.58321803057
511808449BE470EFAF4131838B2D4998500A6F72,429,168369.75005441156
4E23424B3C635EC2CAD284787467B1700517421D,161,168057.5952355096
A5A5491BCA93DD4C076E4906E79E7673F4A5A142,447,167142.84474059416
ADA5BB90D0DE0BD1B6F3938708F49295A8D1F7CB,422,167013.11300108352
73E01524AD6ACA1358D498ECF61731CE39FAF061,1,164150.90240883836
031DA5A0B0663AA1D4154BF42FCE0285BBAB11FC,17,163838.54908755724
D782268F600403843484B70710DAEE6846FC0DB8,402,163431.39128872208
059DF16BDCF8A6BD20BB4814518FF6A2DF3C7B11,414,163181.42110759238
3ABE609F0197FDAC93B2044CFAE3B60554B14A36,3,159729.84381400002
67D698A325F29E17A9477F28BA4FE50F1CEC60E4,450,158777.10264607795
FDE88016A65B2371F2C6E4F698A0C79598E46435,509,157714.6551334133
CB0F8E62A219381A144FEF9E80236DA0CBA8BECA,140,156953.79546128729
2495B04056334175FF6C38724C79D25B260DDAED,12,156483.50074999194
C78304ACDF1F0D62B51441A38E5C1BAB78F03F7A,148,153723.249424743
3D17F1964549394EB710F4DBB5AC65333A94DDD1,12,151629.6438181201
B5AEC0E9EEA1B91575AF115D29369B2376DE2674,5,149604.4432716972
87EDC5258C6436E239AD851D05C52802EA27C19E,38,148997.4660350407
7B444D22F099FD238210161791DE26D16C3CEDF2,197,148641.29126294397
698DD6C03B50C3D4AF12932A0388338BCDD3AAED,433,146430.37915536895
77037F469FD813C1E938330DBD96A884076DF0F9,24,146358.92352933125
FE68082A448F17A3D1700957B9F63176CECD334E,495,146258.76872488772
ABB2ACD3BE814A80E502575D6C1DC5F789E9CD10,458,145714.70642389817
9BC462BCE2ACD6FBE2EF5470D55B439453451083,461,145016.44390760732
D460B4182ED80992D498290BCBC6B60E95DE181B,424,144197.82673763216
1CD9D560440AAB96F7B0A007CED7C2191CAC5BAF,409,143472.8042263416
1F817EF8E6B9F1536A20CF0C2394733FD1A5981C,29,141693.17085084165
824ABDA7E8BFCF47C543761C50BC7BF6756DEDA9,490,141611.75179513954
5C257FF4E94CF796DE07B1B686F6FE6C61D68396,30,140607.77505284597
D0D08887E8A5B16049534A7F3FC1DE92848F5BEA,64,140562.70044037158
D2E1B8BE7E172306FA99B74969AF6FBB30BEB728,73,139597.4578192089
CA7DED7E4F4BA8AB3B10009236AE6D1B95094589,452,138911.52137173133
50837288BA720044D07AB645AB1F2EBA96FFC344,41,138594.19175439552
173216D1FD08E76FD4F25710D2849091CE2FB026,2,135564.86967752918
56C262027E0DE4AEA31D2489529CB25D23E58A8B,472,134920.09857431732
00000000C1CA426E26D419E332055AD057225F7C,106,133337.64979504392
694F2E194929AC94EB379368EB6F4CD7452994A0,297,133019.76969623947
C27A2B4BD5B374C3CB3C711E17901628824F8258,464,131958.3557612834
D840DBE718ABC46C6C7704BD7FF16E69A23D37BA,179,131018.02822270317
0F6B50900E6875BBBB6BFE1789853DBE4DB03772,3,130394.34665523433
2DB2C55A531141C8268A9986703A30417C8F633C,9,130013.91457976855
6AEA17B3257AC7758BB51D9FEBA51722A28CA818,12,127543.26603451991
8D77AAAAF124CDF62FECA36DA74ED44E6A1333C0,27,127162.56881524829
2BB27B73C602643F42471D4751FE4FC4EEBEFBD1,465,126973.09035473558
29794DCBC4B05B16087B0C489D35168519832D03,16,126914.73971141437
69374F8233A4069D48F8994D84052ECAE6277EF5,426,125917.89612881778
97047B79EFC5C9ECE21B6230E67EB500037CE850,20,125527.77997674176
00000000D282F1DC75377E2C68D2452641495145,113,125214.31775154824
534A8A849BF1299DC9773CD14CC0223EE377989C,4,125191.26121176504
82EA824B8FCAB591683BF934A11635269B81F999,12,123980.74656974502
D9AF4455B56F8C703B63392F25A66E083B26C379,35,122814.16813077744
0E3EB60DF4D14B213DC4DE53316ED7BCD4AADC87,176,122463.29884341109
B3AA9923489BC2BFEC323BF05346ACD4AFBC92A0,5,120156.2692596248
D9497B53ABCD6972B6370CB195B6BFD6B280E607,452,118397.63685966624
9ACAB3C0BD3A802FB88D925E4B8AD7D9811D1879,149,118227.57456621766
B7666840CD334C6E6A4ED87BFB57FD089D514703,36,118124.69511317766
D9F0834E7CA9B9262DF3189B850EBF9514027E82,3,116846.49670756354
7660E7E9E674EFDF5CE56B14593DCB7482FB95FF,186,115318.86946190172
9C97EE995EE9D19F5AFBB2BD979C6EDE03000E7F,149,114536.3682011193
81ADF99FCC6073157008E25010967D307875C13C,418,114131.57799796209
DF0524B1F1A7E60928AAD50B6687103065694277,63,113312.30478171016
FB792E4B3C9AA2997D678BA240AFF9566493C32E,26,112194.75134720601
00000000B114BE5D75C53D85302AD08318ABEFAF,90,109490.92946064616
1D71E6ABA7B39BC0207D5F8C6DBB334DCAEB93EE,9,108668.6864272765
000000000AE3BC602EB9C567DF7B526C27EA7334,103,108656.01928243866
47ED9304335F9E077A6E11B808B0DBBD76DD0006,84,108423.25200855316
EAB30478E873BED4B14A2B7DF06D99BC4D5A0177,2,108089.1208460077
D657BF12B59DFDE3573C521ABC3B111B62DFE3C5,827,107009.51599680103
728AAD5445E7A1727B67B5B30AA153F5851AE274,1,106459.4055962621
4B24C0F85C3C12FDE656BD8AFA4064A61D0742A4,4,104353.22708144863
5087043BB9490E6EA84A324A104B03C4E00DC3E6,158,103669.21687550572
9572561EBE198566BBA3B4E7C53F82AC27587431,34,103474.89374270958
9F7607C4CFB63F8BBA2736B74EAB97FED06AB428,31,101988.14054252754
4671FB2FB50A8001E13523A8A3DF37BC67777777,34,101697.56741397096
E3479B4A4B0CC3826A0D84EA6FFE4757712198EC,166,98797.66969631663
8500434F18E6B5179D252EB4F7001CC0A2C63D22,39,97202.85911277092
4549FBF04C84AAC0D6AB50FB6E19B2C231415390,175,96220.7213327809
9E738D1934E16ECE30164A392F5F58A506B4D614,3,95876.4019087113
5F8D74FCFE0B42A3A4D5646C0F5D9124059817A2,37,95607.70764882071
56E22AD6BA2468BC57E83423EF5FEFEC700A448F,4,94632.004543
5F3C282E0B6B38A85071F406D584D8EFD7F50334,55,93972.57404526127
CB610336E847DDE55C319ED8513ED8601A67F719,13,93937.67402632047
D20278DC748CFE4A381E8969751873F1AB80CCE4,244,93570.16129240069
B1729CCD0FF72F89F953F75270C32FE4F6889760,54,93399.70691645802
463F6638E5D9B5866DC5E32EA099BAF5736A5639,10,93363.08365089429
00000000DB1C58ECB81789DEFCBE3390FFB88CD7,71,92573.38917528262
8B759579516DB9E8187B5D60AEECE236D13B8EFC,4,92212.82147844233
88A0641C1FBFF74B99D460C440369F44DD432AF9,14,91722.40085366725
5AAA1A65DC28FC62D6F41A624615A24F225DEE9D,253,91632.00315548222
EAAD3BC23784BC9325AFF1AF2BFD6839527812E2,6,91213.76940194014
91E9E0F8675C1517551F2E7FB54C20159396A146,59,89269.20886946232
82954B1849211E00FBA7B9191FDFFD26513A1653,2,89072.27791645002
18D4C65459D9623DBB8EF2C64C5103B298DCE7FF,7,88367.51660520457
18EE6DA3E475981F316278BAF43B29B9EC0FCC8D,218,88239.24679240253
D0640FCB1EF5AC385B57701C5EF7030331C8D80B,3,87448.45039043362
BD8DB7C5B345B2263CF42C24551A8300FC96FEFF,46,86587.4703435867
D108EE2DCAD3A858E2F7D70D33B4D3501C79BD2B,50,86319.0231218507
