n_trades,n_trades_closed_hours,token_address,vol_usd
92,44,0xf6290b5e7c26502e2da514c31509849718ea76a5,1771.6341822071986
91,41,0x89776d4cd68193597a2fc132cfac1fde36ccea8a,5279.475399212359
90,66,0x44f6d488021f8233b9416294d1fe9b1fee28382d,803.043808672171
88,36,0x52d50d0280ad1054b43f052bd70a49a212a1b128,2155.232183964488
88,61,0xf52597345a8edf418bc4071b4a35112472277d3e,267.99743305520303
85,55,0xfa78c12e6488814a0262e4e802749a4a737d5fb7,910.570376847093
85,60,0x82da4646242e1d962e96e932269dc644c94a9caa,2177.5840778270162
83,45,0x285b231728c7e4333799183df1094d775246a535,223.59670454819093
80,56,0x57b0030166db0c31690d1a5aa167e2e26e2c29a4,578.5622174226256
79,33,0x373c06c4f7bde527d7dae4ba169e42b55e393ced,2318.114429988846
78,28,0x40e7a279850e443f582059ae5dc1c3b6563e6395,1978.1045596269078
77,33,0x141eea040c2250eec0314e336975e81f85f6585e,51.85040340482
75,27,0x748c32c3ca24edf31ea597db1f3d330a7a6da3dc,2213.0112189016545
75,49,0x2778c5024d5ca2cdb0f8ead671ffc69963adcd9c,198.91399036837
74,39,0x03bc731ffb162cdd7b98d3c6542bfc291126075d,1369.8492298474405
71,60,0x7c04e6a3368f2a1de3874f0e80d2e0a1a9915da6,1748.3322084065608
69,57,0xacef2e09adb47ad6abebad9ff06689e60615c2b6,468.8172982259639
66,42,0x3139d77ace0cbaa5bdfd38bd1f1911a794af0b0e,1111.860746243932
65,54,0x072f979c2cac8e1391b0162a87fee094bf8744a0,707.3227320642312
65,45,0xa5d4968421ba94814be3b136b15cf422101ac1a3,2257.7343034084824
63,26,0x99d9d8663545151603863c5acbd6fc3218899009,1200.5277636106161
62,36,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,697.1585250290557
62,41,0x5b97476b922f3305131b8f0b9d333172e87f4aae,1561.410201325023
61,37,0xfb2664f07b6aadd29ea7a59d8859b1aeb8645cda,849.0923359927361
61,57,0xbe6702d7b70315376dc48a3293f24f0982f86386,1722.2553082655838
60,26,0xb853bc83a753342a4f8320ea680b4b1e84118d21,298.44131454712806
60,33,0x3fb8976980d486084b2eb4a404bd12e72823958f,2126.0285112114125
60,34,0x6006ed4b2f94110851ff7509d97d034f0eed9226,52.01226827820099
59,51,0x56d23bee5f41a7120170b0c603dae30128e460e9,1320.0808435159938
58,20,0x26dcbfb34fc83cabd6990f449674efdc6097ff85,1219.0785660006748
58,45,0x0594134df3f171a354d9c85ebd65b7a6148f6d09,237.65696785319201
57,20,0xfaf9cb261b5fcc1f404bb10cd39c5c6c1974e612,932.4266657503201
56,48,0x5c90450bbb4273d7b2f17cf6917aeb237a569679,1192.6307587015046
54,40,0x0e6e67ba88e7b5d9b67636a215c76779b948de79,2152.7730475683798
54,48,0xbe274710bf3d9567e1b290ef6a5f9f90ca016fd8,410.92828817745107
53,21,0x48d60243c66437c6ac3c2495be94747aed5dfe25,940.1015169153641
52,46,0x39ec44bee4f6a116c6f9b8de566848a985c53c60,842.8289616280441
50,34,0x7c148f74ac7445d1f28366b7fcdc6792a9fcd0cf,1545.9559542202037
50,44,0xddf2266b79abf0b48898959b0ed6e6adf512be74,755.0988310164734
49,38,0x4189f0c66ebbb0bfef1c31f763131361ef32f77c,492.65532272101234
47,28,0x94b8aae43a1ccc08aa64b7d1f29b4d920af4a0c9,180.30023699559604
47,29,0x28babd556b60e53663b8615036479a29c2cdd1bf,330.861538503347
47,37,0xc27dbd474af5181c5a8777903690d8d262d12648,82.36891196336798
47,34,0x7066a64c24e4206cd62e83bf198c1e7eb361f51e,988.9307447731977
45,30,0x9ab02ead789b6903c3c44d0ed32f9c707cdf12fd,152.964082366891
45,37,0x7dc013eb55e436f30d7ed1afe4e36d6e45e3c3f7,758.2227268459
44,28,0x8ff63eaeee3fe54ba450c4f5538064ec5a893aef,51.92526560189899
43,25,0x77e655e37f4d913fb9540e0d541d824171a60e81,51.970063806396
42,22,0xbf449977089c718c004a66c554b26b94ef3ad4de,1046.3137550804431
42,30,0x1c690498150252222c275a5ced69d3a6b1f52d5e,33.05463486581
41,33,0xaea445c5f3db1a462998ccc422a875a361ee5d99,471.36211740470304
41,35,0x9ece29a4a2397c0a35fb5fa8ee2b9509130a98cc,52.072425458398
40,30,0xd63abb2c13d7a8421a8017a712802053568e3c1d,23.335097990729995
38,29,0xa48f22a46c0f1c46ca7d111cb6c137c271987180,120.99210930195399
31,24,0xf7181b63fdb858558a74ba96bc42732684cd7965,52.00396496971999
30,7,0xc93f4d80e268ab922e871bd169156c3cc41894e6,1009.6616604896265
30,6,0x4d67253bc223e6b0e104f1084c1fb2b669ddc41b,336.7579945661856
18,7,0xeaf2512dfc1beac608f8794b3793cd4e02894aa6,487.6756056953013
16,3,0x93dbb1d2dc5d63f4abacff30485273f538df68ac,151.10043
15,15,0x95052ddcd5dc25641657424a8cf04834997e1730,13.770023723311999
10,1,0xeb61c0ed490a367d4e3631ccf8a74b3bfc7e775d,306.5335285332379
8,3,0x63d5a3b6939a33f1e75d8bcd85759858239600db,150.162411830577
