token,feed_addr,t_checkpoint,D,P_vwap,F_anchor,anchor_age_min,n_trades_pre,vol_usd_pre
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-25 15:00:00+00:00,-0.006079673631852445,122.31445293784158,123.06035,1148.3333333333333,24,1993.1953816137088
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-25 16:00:00+00:00,-0.014359978209522116,121.30583361372977,123.06035,1208.3333333333333,6,1284.5569477924869
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-26 02:00:00+00:00,-0.0008108371700692845,122.96060853656589,123.06035,1808.3333333333333,194,10416.067016626726
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-26 03:00:00+00:00,-0.00591091190936334,122.33509667749222,123.06035,1868.3333333333333,27,1334.777034819315
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-26 04:00:00+00:00,-0.001681839921880887,122.85355613640158,123.06035,1928.3333333333333,28,1195.1127943000174
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-26 05:00:00+00:00,-0.011617242794338956,121.63900010456082,123.06035,1988.3333333333333,13,546.2951649707213
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-26 08:00:00+00:00,-0.011951429374928319,121.59835677465554,123.06035,2168.3333333333335,13,585.7217442509369
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-26 11:00:00+00:00,0.008400009097172235,124.09841182005762,123.06035,2348.3333333333335,7,4143.714300481793
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-26 14:00:00+00:00,-0.010181463470356557,121.81377230303147,123.06035,2528.3333333333335,8,575.765966628724
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-26 18:00:00+00:00,0.00637344712106475,123.84717335850968,123.06035,2768.3333333333335,13,576.4626831328437
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-26 19:00:00+00:00,-0.0011588744245824433,122.91782111019864,123.06035,2828.3333333333335,16,2913.301458012466
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-27 00:00:00+00:00,-0.012885276415930774,121.48485551364757,123.06035,3128.3333333333335,10,2072.3136613055303
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-27 09:00:00+00:00,-0.000523138972563096,124.96920663422162,125.0346,28.216666666666665,13,1851.1017818442735
PLTR,0x315afd0f71d5407b99ad19ab001a67af40fbaaf4,2026-07-27 20:00:00+00:00,0.011277294773013367,133.11777533768353,131.625,0.3333333333333333,150,26628.582819850133
